"country","indicator","group","Unit","Date","Value"
"Nigeria","International","All Groups","%","2010","1.94792636417785"
"Nigeria","International","All Groups","%","2011","2.16910285483697"
"Nigeria","International","All Groups","%","2012","7.5813115275881"
"Nigeria","International","All Groups","%","2013","7.08183614669346"
"Nigeria","International","All Groups","%","2014Q1","4.83038175331652"
"Nigeria","International","All Groups","%","2014Q2","4.59117655166274"
"Nigeria","International","All Groups","%","2014Q3","6.75051012049183"
"Nigeria","International","All Groups","%","2014Q4","2.09383394326483"
"Nigeria","International","All Groups","%","2015Q1","3.33056830881126"
"Nigeria","International","All Groups","%","2015Q2","3.99630000896571"
"Nigeria","International","All Groups","%","2015Q3","4.8290895273375"
"Nigeria","International","All Groups","%","2015Q4","5.03811673815573"
"Nigeria","International","All Groups","%","2016Q1","6.4332113170905"
"Nigeria","International","All Groups","%","2016Q2","7.21549326209275"
"Nigeria","International","All Groups","%","2016Q3","7.40143784532776"
"Nigeria","International","All Groups","%","2016Q4","7.17330842037742"
"Nigeria","International","All Groups","%","2017Q1","7.11721627624879"
"Nigeria","International","All Groups","%","2017Q2","7.56544482409164"
"Nigeria","International","All Groups","%","2017Q3","8.85744324864795"
"Nigeria","International","All Groups","%","2017Q4","9.93893744949715"
"Nigeria","International","All Groups","%","2018Q1","10.3176213315174"
"Nigeria","International","All Groups","%","2018Q2","10.5141325569014"
"Nigeria","International","All Groups","%","2018Q3","10.7715097889161"
"Nigeria","International","All Groups","%","2020Q2","11.6689902719196"
"Nigeria","International","All Groups","%","2020Q4","17.4525957723706"
